epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,6985.06,0.68077,3.15173,0.28084,0.42941,1.10733,0.97195,0.97633,0.99072,0.89784,0.85188,0.82127,0.83741,0.69343,0.55231,1.98117,0.05632,0.28256,0.98095,0.006436,0.006436,0.006436
38,7176.98,0.67059,3.11205,0.27825,0.42625,1.10023,0.97266,0.97746,0.9911,0.89818,0.86011,0.82159,0.83947,0.69703,0.55246,1.96602,0.05522,0.28018,0.98087,0.006337,0.006337,0.006337
39,7362.01,0.67171,3.09417,0.27512,0.42795,1.10276,0.97367,0.97682,0.99085,0.90033,0.85977,0.82748,0.84407,0.70322,0.55001,1.94178,0.05378,0.27823,0.97952,0.006238,0.006238,0.006238
40,7547.56,0.66915,3.09627,0.27546,0.42386,1.1001,0.97249,0.9772,0.99059,0.90171,0.8658,0.82928,0.85085,0.7083,0.5433,1.91675,0.0536,0.27424,0.97447,0.006139,0.006139,0.006139
41,7733.02,0.67004,3.07065,0.27536,0.42314,1.10035,0.97261,0.97643,0.99073,0.90132,0.87042,0.83543,0.85434,0.71006,0.54146,1.88656,0.05291,0.27388,0.97488,0.00604,0.00604,0.00604
42,7917.23,0.66579,3.02711,0.27089,0.42086,1.09516,0.9716,0.97713,0.99071,0.9012,0.8701,0.83645,0.85393,0.70977,0.54031,1.8798,0.05235,0.27188,0.97337,0.005941,0.005941,0.005941
43,8103.5,0.66793,3.03029,0.26994,0.42229,1.10025,0.97213,0.9772,0.99102,0.90205,0.86501,0.83625,0.85228,0.70991,0.53793,1.88184,0.05188,0.2706,0.97098,0.005842,0.005842,0.005842
44,8288.57,0.66215,3.03227,0.27001,0.41779,1.09802,0.97313,0.97618,0.99094,0.90303,0.86251,0.83476,0.85212,0.71275,0.53728,1.8825,0.05158,0.27015,0.97012,0.005743,0.005743,0.005743
45,8473.02,0.65832,2.9657,0.26638,0.41742,1.09705,0.97357,0.97645,0.99109,0.90384,0.86758,0.83799,0.85659,0.71949,0.53616,1.84905,0.05075,0.26823,0.96899,0.005644,0.005644,0.005644
46,8657.19,0.65783,2.93137,0.26293,0.41389,1.09302,0.97428,0.97528,0.99109,0.90457,0.86419,0.8443,0.85899,0.72146,0.53458,1.8385,0.05014,0.2677,0.96769,0.005545,0.005545,0.005545
47,8841.38,0.658,2.96524,0.26251,0.41257,1.09337,0.97388,0.97707,0.991,0.90533,0.86505,0.84315,0.85993,0.72154,0.53213,1.83702,0.04979,0.2661,0.96613,0.005446,0.005446,0.005446
48,9026.78,0.65685,2.94105,0.26299,0.41241,1.09426,0.97409,0.97741,0.99116,0.90561,0.86848,0.84593,0.86492,0.72385,0.53035,1.82596,0.04964,0.26472,0.96521,0.005347,0.005347,0.005347
49,9211.17,0.65031,2.90932,0.26032,0.41009,1.08982,0.97429,0.97784,0.99106,0.90555,0.87291,0.84362,0.86612,0.7246,0.52972,1.82017,0.0494,0.26396,0.96507,0.005248,0.005248,0.005248
50,9395.39,0.64801,2.91157,0.25932,0.40814,1.08893,0.97407,0.97836,0.99107,0.90564,0.87009,0.84209,0.86369,0.72354,0.52846,1.82725,0.0491,0.26349,0.96406,0.005149,0.005149,0.005149
51,9579.8,0.65417,2.90642,0.25818,0.41099,1.09074,0.97426,0.97905,0.9911,0.90576,0.86523,0.84529,0.86326,0.72425,0.52627,1.82131,0.04872,0.2626,0.9626,0.00505,0.00505,0.00505
52,9764.42,0.64301,2.83575,0.25654,0.40441,1.0851,0.97388,0.97964,0.99116,0.90588,0.86807,0.84362,0.86267,0.72465,0.52461,1.81689,0.04851,0.26195,0.96168,0.004951,0.004951,0.004951
53,9950.15,0.64547,2.85702,0.25444,0.40639,1.08719,0.97416,0.98025,0.99126,0.90626,0.87201,0.84209,0.86404,0.72586,0.52372,1.8088,0.04825,0.26136,0.9611,0.004852,0.004852,0.004852
54,10134.5,0.64232,2.82541,0.25402,0.40088,1.08567,0.97392,0.97964,0.99128,0.90659,0.87303,0.84012,0.86352,0.72693,0.52305,1.80576,0.04782,0.26085,0.96045,0.004753,0.004753,0.004753
55,10319.3,0.63835,2.77864,0.25051,0.40106,1.08319,0.97339,0.98015,0.99129,0.90717,0.87465,0.84005,0.86305,0.72747,0.52238,1.80225,0.04742,0.26037,0.95982,0.004654,0.004654,0.004654
56,10503.7,0.63869,2.78041,0.25007,0.40147,1.08488,0.97338,0.9804,0.99128,0.90671,0.87548,0.84191,0.86424,0.72773,0.5219,1.79566,0.04722,0.25992,0.95952,0.004555,0.004555,0.004555
57,10687.7,0.63407,2.76728,0.24776,0.39647,1.07961,0.97404,0.98015,0.99131,0.90735,0.87369,0.84183,0.86336,0.72844,0.52129,1.79476,0.04704,0.2595,0.95915,0.004456,0.004456,0.004456
58,10881.1,0.63226,2.75928,0.2471,0.39357,1.07845,0.97387,0.9804,0.99124,0.90754,0.87049,0.84426,0.86353,0.7291,0.52061,1.7931,0.04686,0.259,0.95868,0.004357,0.004357,0.004357
59,11067.9,0.63436,2.73186,0.24458,0.39508,1.07928,0.97322,0.98079,0.99124,0.90789,0.87086,0.84529,0.86422,0.73002,0.51971,1.78964,0.04654,0.2585,0.95797,0.004258,0.004258,0.004258
60,11260.5,0.62953,2.73313,0.24343,0.39558,1.0781,0.97374,0.98092,0.99123,0.9082,0.87181,0.84593,0.86508,0.73034,0.51918,1.78667,0.04628,0.25788,0.95756,0.004159,0.004159,0.004159
61,11455.6,0.62174,2.65774,0.24094,0.38722,1.07305,0.97418,0.98117,0.99134,0.9083,0.87267,0.84621,0.86526,0.73065,0.51866,1.78032,0.04598,0.25731,0.95714,0.00406,0.00406,0.00406
62,11650.3,0.62087,2.67229,0.24157,0.38598,1.07152,0.97308,0.98134,0.99127,0.90865,0.87298,0.84695,0.86579,0.73155,0.51826,1.77828,0.04579,0.25686,0.95692,0.003961,0.003961,0.003961
63,11844.4,0.61926,2.6353,0.23987,0.3853,1.07373,0.97316,0.98233,0.99127,0.90863,0.87368,0.84682,0.86584,0.73258,0.51761,1.77413,0.04558,0.25676,0.95629,0.003862,0.003862,0.003862
64,12038.2,0.6231,2.66221,0.24065,0.38996,1.07617,0.97346,0.98178,0.99127,0.90897,0.87167,0.84821,0.866,0.73284,0.5172,1.77056,0.04536,0.25641,0.95625,0.003763,0.003763,0.003763
65,12224.3,0.61677,2.61726,0.23695,0.38262,1.07081,0.97389,0.98066,0.99131,0.90923,0.87413,0.84588,0.86601,0.73323,0.51659,1.76738,0.0452,0.25612,0.95585,0.003664,0.003664,0.003664
66,12409.9,0.61829,2.5887,0.23693,0.38037,1.07102,0.97452,0.98092,0.99134,0.90938,0.87455,0.84618,0.86645,0.73385,0.51615,1.76383,0.04501,0.2557,0.95538,0.003565,0.003565,0.003565
67,12596.6,0.61714,2.58994,0.23564,0.38112,1.06942,0.97428,0.98156,0.99133,0.90934,0.87434,0.8466,0.86653,0.73453,0.51552,1.76135,0.04479,0.25535,0.955,0.003466,0.003466,0.003466
68,12783.5,0.61459,2.5526,0.23341,0.38042,1.06739,0.97431,0.98132,0.99133,0.9095,0.87533,0.84759,0.86682,0.73485,0.51527,1.75736,0.04456,0.25518,0.95478,0.003367,0.003367,0.003367
69,12970.4,0.60945,2.5649,0.23312,0.37683,1.06599,0.97444,0.98146,0.99134,0.90953,0.87581,0.8499,0.86751,0.73522,0.5149,1.75431,0.04441,0.25448,0.95462,0.003268,0.003268,0.003268
70,13155.2,0.60644,2.52061,0.23136,0.37484,1.0639,0.97421,0.98196,0.99135,0.90984,0.87604,0.8508,0.86801,0.73572,0.5144,1.75,0.04421,0.25417,0.95433,0.003169,0.003169,0.003169
71,13340.8,0.60431,2.49441,0.22995,0.37049,1.06183,0.97458,0.98185,0.99143,0.91005,0.87547,0.85374,0.86866,0.73611,0.51362,1.74553,0.04396,0.25389,0.95379,0.00307,0.00307,0.00307
72,13526.3,0.59917,2.45867,0.22848,0.36782,1.05624,0.97482,0.98165,0.99144,0.91048,0.87618,0.85348,0.86909,0.73679,0.51312,1.74199,0.04382,0.25356,0.95347,0.002971,0.002971,0.002971
73,13711.9,0.60171,2.49572,0.22917,0.36789,1.05955,0.9747,0.98105,0.99146,0.91044,0.87722,0.85336,0.86939,0.73779,0.51256,1.73764,0.04365,0.25309,0.95305,0.002872,0.002872,0.002872
74,13897.5,0.59981,2.47904,0.2284,0.36628,1.06056,0.97482,0.98154,0.99148,0.91041,0.87848,0.85177,0.86984,0.73907,0.51212,1.73476,0.04347,0.25257,0.95268,0.002773,0.002773,0.002773
75,14083.4,0.59531,2.45666,0.22699,0.36567,1.06027,0.97521,0.98092,0.99151,0.91083,0.8783,0.85223,0.87012,0.73951,0.5117,1.73154,0.04331,0.25236,0.9524,0.002674,0.002674,0.002674
76,14269.8,0.59926,2.46003,0.22505,0.36754,1.05695,0.97518,0.98114,0.99149,0.91103,0.87841,0.85233,0.87057,0.74087,0.51117,1.72804,0.04321,0.2519,0.95207,0.002575,0.002575,0.002575
77,14455.8,0.59743,2.42527,0.22488,0.36374,1.05929,0.97454,0.98156,0.99152,0.91122,0.87908,0.8531,0.87269,0.74147,0.51059,1.7258,0.04305,0.25127,0.95165,0.002476,0.002476,0.002476
78,14641.9,0.59356,2.40973,0.22493,0.3622,1.05766,0.97457,0.98147,0.99153,0.91141,0.87886,0.85323,0.87236,0.74223,0.50999,1.72215,0.0429,0.25058,0.95128,0.002377,0.002377,0.002377
79,14828.1,0.58669,2.38251,0.22353,0.35918,1.05416,0.9752,0.9813,0.99153,0.91153,0.8788,0.85339,0.87294,0.7426,0.5094,1.71881,0.04275,0.25011,0.95087,0.002278,0.002278,0.002278
80,15014.7,0.58819,2.36975,0.22184,0.35522,1.05457,0.97558,0.98143,0.99154,0.91161,0.87956,0.8539,0.87394,0.74352,0.50864,1.71464,0.04258,0.24982,0.9503,0.002179,0.002179,0.002179
81,15200.5,0.57856,2.34398,0.22251,0.35408,1.05055,0.97624,0.98117,0.99157,0.91198,0.88013,0.85383,0.87463,0.74471,0.5081,1.71184,0.04244,0.24956,0.94988,0.00208,0.00208,0.00208
82,15386,0.57574,2.30297,0.2196,0.35321,1.04791,0.97633,0.9813,0.9916,0.9121,0.87975,0.85457,0.87469,0.74497,0.5076,1.70773,0.04223,0.24932,0.94952,0.001981,0.001981,0.001981
83,15571.4,0.57294,2.30753,0.21918,0.34961,1.04636,0.97617,0.98125,0.9916,0.91213,0.88034,0.85489,0.87564,0.7454,0.50709,1.70345,0.04204,0.24887,0.94911,0.001882,0.001882,0.001882
84,15757.5,0.57442,2.27671,0.21831,0.34856,1.04676,0.97606,0.9813,0.99161,0.91236,0.88147,0.85553,0.87667,0.74601,0.50648,1.69939,0.04187,0.24844,0.94863,0.001783,0.001783,0.001783
85,15942.9,0.57165,2.26356,0.21615,0.34674,1.04379,0.97446,0.98229,0.99162,0.91242,0.88147,0.85553,0.87655,0.74623,0.50594,1.69562,0.04168,0.2479,0.94821,0.001684,0.001684,0.001684
86,16128.7,0.57157,2.24642,0.21681,0.34693,1.04471,0.97609,0.98143,0.99164,0.91262,0.88152,0.85569,0.87721,0.74697,0.50547,1.69145,0.04149,0.24767,0.94788,0.001585,0.001585,0.001585
87,16313.3,0.57117,2.25831,0.21686,0.34561,1.04324,0.97607,0.98169,0.99165,0.91286,0.88249,0.85566,0.87737,0.74746,0.50489,1.68771,0.04135,0.24736,0.94749,0.001486,0.001486,0.001486
88,16499.4,0.56175,2.19593,0.21333,0.34018,1.04128,0.97463,0.98233,0.99165,0.91299,0.88235,0.85643,0.87757,0.74795,0.50431,1.68434,0.04118,0.24702,0.94703,0.001387,0.001387,0.001387
89,16685.9,0.56132,2.20542,0.21467,0.34113,1.04155,0.97487,0.98233,0.99165,0.91326,0.883,0.85656,0.87755,0.74815,0.5038,1.6814,0.04099,0.24665,0.94662,0.001288,0.001288,0.001288
90,16871.2,0.56085,2.18897,0.21514,0.34249,1.04097,0.97608,0.98194,0.99166,0.91328,0.88345,0.85628,0.87781,0.74833,0.50331,1.67841,0.04084,0.2465,0.94621,0.001189,0.001189,0.001189
91,17068.9,0.45908,1.62505,0.07003,0.24835,0.98087,0.97567,0.98233,0.99168,0.91387,0.88414,0.85669,0.87842,0.74876,0.50256,1.67438,0.04055,0.24595,0.94573,0.00109,0.00109,0.00109
92,17252.8,0.44956,1.57866,0.06889,0.24247,0.97591,0.97605,0.98207,0.99168,0.91399,0.88479,0.85669,0.87865,0.74919,0.50184,1.66963,0.04016,0.2453,0.94521,0.000991,0.000991,0.000991
93,17436.8,0.44671,1.56127,0.06665,0.23715,0.97228,0.9763,0.98142,0.99169,0.91459,0.88605,0.85745,0.87945,0.75053,0.50069,1.6643,0.03979,0.24467,0.94439,0.000892,0.000892,0.000892
94,17621.4,0.43963,1.52508,0.0652,0.23491,0.96915,0.97644,0.9818,0.99171,0.91454,0.88696,0.85822,0.87988,0.75165,0.49985,1.6591,0.03935,0.24396,0.94381,0.000793,0.000793,0.000793
95,17805.4,0.43488,1.48907,0.06207,0.23104,0.96568,0.97562,0.98258,0.99172,0.91493,0.88693,0.85861,0.88019,0.75238,0.49875,1.65385,0.0389,0.24344,0.94297,0.000694,0.000694,0.000694
96,17988.8,0.42895,1.47379,0.06362,0.22977,0.9617,0.97583,0.98242,0.99174,0.91519,0.88806,0.85958,0.88102,0.75383,0.49769,1.64848,0.0385,0.2426,0.94221,0.000595,0.000595,0.000595
97,18172.2,0.42747,1.44843,0.06408,0.22481,0.96184,0.97536,0.98258,0.99175,0.91568,0.88833,0.85989,0.88134,0.75496,0.49661,1.64252,0.03805,0.24179,0.9414,0.000496,0.000496,0.000496
98,18356.3,0.42169,1.42604,0.06196,0.22155,0.95795,0.97497,0.98259,0.99175,0.91596,0.88811,0.86107,0.88202,0.75565,0.49558,1.63731,0.0376,0.24117,0.9407,0.000397,0.000397,0.000397
99,18540.1,0.41777,1.40963,0.0614,0.21987,0.95532,0.97508,0.98232,0.99173,0.91615,0.88865,0.86163,0.8823,0.75614,0.49439,1.63162,0.03718,0.24046,0.93983,0.000298,0.000298,0.000298
100,18723.9,0.41508,1.38652,0.06083,0.21803,0.95203,0.97618,0.98156,0.99174,0.91663,0.88892,0.86197,0.88259,0.75691,0.49322,1.62583,0.03675,0.23985,0.93902,0.000199,0.000199,0.000199
